slide_num,title,bullet_1,bullet_2,bullet_3,bullet_4,chart_mapping,speaker_notes
1,Regional Demand Forecasting + Inventory Optimization,"End-to-end capstone connecting forecasting, inventory policy, and fulfillment strategy","Objective: improve planning accuracy, inventory efficiency, and operating decision quality",Final recommendation: XGBoost + policy-driven inventory + Carbon-first strategy,,Use project title visual or architecture summary,"Open with the business problem, not the code. This project is about making planning decisions more accurate, more explainable, and more actionable."
2,Business Context,"Regional demand variability creates stock imbalance, cost leakage, and service risk",Forecasts alone are not enough; planners need inventory and fulfillment decisions tied to demand signals,The capstone was designed to connect prediction with operational action,,Optional: KPI tree from reports/technical/kpi_tree.csv,Frame the work as a decision system. The business value comes from linking demand insight to inventory and network choices.
3,Data Overview,"Working scope covered 25 SKUs, 5 regions, and 6 categories","Daily time series rebuilt for ~70,625 SKU-region-day observations",Walk-forward holdout used 21 days to test real forecasting performance,,Use split summary or architecture flow summary if desired,"Highlight that the evaluation setup was time-aware and operationally realistic, not random split validation."
4,Forecasting Benchmark,"Baseline methods included Naive, Seasonal Naive, MA7, and Drift",Best baseline was MA7 at 19.25% WMAPE,Baseline benchmarking established a credible performance floor before ML uplift,,Use outputs/charts/forecasts/day7_baseline_dashboard.png,"Show that ML was earned, not assumed. Benchmarks matter because they prove value relative to simpler planning rules."
5,Machine Learning Improvement,XGBoost achieved 11.06% WMAPE versus Prophet at 11.16%,Accuracy improved by 42.5% versus the strongest baseline,Top feature signal: roll_14_mean (0.4682),,Use model comparison table and feature importance chart/table,Explain why this matters operationally: better forecasts improve replenishment timing and reduce decision noise.
6,Inventory Policy Translation,Forecast outputs were converted into safety stock and reorder point logic across 125 SKU-region combinations,"Safety stock value: $157,292.60; annual storage cost: $21,370.33","Replenishment needed: $780,850.78; high urgency combinations: 41",,Use outputs/charts/inventory/day9_inventory_dashboard.png,This slide is the bridge from analytics to operations. Forecast accuracy becomes inventory policy and cash planning.
7,Strategy Comparison,Speed-first leads on fill rate and cost-to-serve,Carbon-first leads on lowest estimated carbon,"In the current network proxy, Carbon-first also benefits from faster same-region fulfillment",,Use outputs/benchmarks/day11_5_executive_scorecard_v2.csv and cost/carbon trade-off benchmark,"State the non-obvious insight clearly: sustainability and speed are aligned here because of routing structure, not because carbon is always faster."
8,Constrained Decision Engine,"Recommendation is based on feasible trade-offs, not a single KPI","Decision logic evaluates service, cost, carbon proxy, and same-region routing under constraints","Default strategy: Carbon-first, with tactical override paths when service or cost thresholds are threatened",,Use Day 12C outputs if present; otherwise reference decision_rules_table.csv,"This is where the project becomes management-grade. The point is governed decision logic, not dashboard theater."
9,Financial Impact and ROI Story,42.5% forecast improvement increased planning signal quality,"Inventory layer quantified $157,292.60 safety stock and $780,850.78 replenishment needs","Business value comes from better stock positioning, lower avoidable urgency, and more confident strategy selection",,Use before_after_kpi_comparison.csv or financial impact summary if Day 12C exists,Avoid claiming audited savings unless directly measured. Position ROI as decision-quality improvement with quantified operational exposure.
10,Recommendation,Use XGBoost as the demand planning model,Deploy policy-based safety stock and reorder points as the inventory control layer,"Adopt Carbon-first as the default network strategy under current assumptions, with governed overrides",,"Simple recommendation slide, no heavy chart required","Make the recommendation crisp. One sentence per layer: forecast, inventory, strategy."
11,Risks and Limitations,"Carbon values are synthetic comparative proxies, not formal ESG disclosure metrics",Performance is not uniform; worst region observed was West and worst category was Beauty,"Scenario quality depends on the realism of warehouse, lead-time, and cost assumptions",,Use model risk register and assumptions register if desired,Strong projects acknowledge limits cleanly. This builds credibility instead of weakening the story.
12,Next Steps,Productionize the forecasting and feature engineering refresh pipeline,Recalibrate inventory policy regularly using updated volatility and lead-time inputs,"Stress-test network strategy under alternate cost, capacity, and routing assumptions",,Optional: architecture flow summary or roadmap graphic,"End on scale-up, governance, and business adoption. Show that this is implementation-ready thinking."
